base_name,Critic_Score,Global_Sales,Price,if_not_score,Company_Size_Large,Company_Size_Medium,Company_Size_Small,ESRB_Rating_Level1,ESRB_Rating_Level2,ESRB_Rating_Level3,ESRB_Rating_Level4,Platform_Game Console,Platform_Handheld,Platform_PC,Genre_Action,Genre_Action-Adventure,Genre_Adventure,Genre_Fighting,Genre_MMO,Genre_Misc,Genre_Music,Genre_Party,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Genre_Visual Novel
3_in_1_solitaire_mahjong__tangram,0.0,0.06480000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3d_dot_game_heroes,7.5,0.4617,35.89,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3rd_super_robot_wars_z_jigoku_hen,0.0,0.18630000000000002,19.401356589147277,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3rd_super_robot_wars_z_jigoku_hen,0.0,0.1539,18.764469026548674,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3rd_super_robot_wars_z_tengoku_hen,0.0,0.12960000000000002,20.36575221799746,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rd_super_robot_wars_z_tengoku_hen,0.0,0.16200000000000003,23.23166666666666,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428_shibuya_scramble,0.0,0.016200000000000003,33.39,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4_elements,0.0,0.016200000000000003,19.55727272727273,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4_play_collection___dark_mysteries,0.0,0.016200000000000003,19.148836257309917,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4_play_collection_treasure_hunters,0.0,0.008100000000000001,19.540153256704986,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50_classic_games,0.0,0.008100000000000001,28.84,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7_days_to_die,0.0,0.2673,58.045,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_roses_a_darkness_rises,0.0,0.016200000000000003,19.148836257309917,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7_wonders_2,0.0,0.2511,9.47,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7_wonders_treasures_of_seven,0.0,0.024300000000000002,6.93,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7scarlet,0.0,0.016200000000000003,23.16,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th_dragon_2020,0.0,0.16200000000000003,41.378476562499976,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7th_dragon_3_code_vfd,7.5,0.19440000000000002,40.59,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88_heroes_98_heroes_edition,0.0,0.016200000000000003,23.23166666666666,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_bit_armies,6.9,0.048600000000000004,15.489999999999998,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8_to_glory_the_official_game_of_the_pbr,0.0,0.048600000000000004,18.925883584589617,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
999_nine_hours_nine_persons_nine_doors,7.9,0.2997,24.132265625000002,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_game_of_thrones_genesis,4.9,0.024300000000000002,20.845208333333336,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
a_good_librarian_like_a_good_shepherd_library_party,0.0,0.032400000000000005,23.23166666666666,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_train_3d_city_simulator,0.0,0.048600000000000004,19.230974025974028,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a_train_3d_city_simulator_neo,0.0,0.008100000000000001,19.230974025974028,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a_train_exp,0.0,0.016200000000000003,48.45,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a_way_out,7.8,0.5832,42.510000000000005,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abba_you_can_dance,0.0,0.6237,45.74,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
abunai_koi_no_sousa_shitsu,0.0,0.016200000000000003,23.23166666666666,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abunai_koi_no_sousa_shitsu,0.0,0.008100000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
abzu,8.3,0.048600000000000004,19.2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_ginyoku_no_kakusei,0.0,0.024300000000000002,21.20477168949772,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_ginyoku_no_kakusei,0.0,0.024300000000000002,24.132265625000002,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_kasoku_no_chouten,0.0,0.016200000000000003,21.20477168949772,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_kasoku_no_chouten,0.0,0.008100000000000001,24.132265625000002,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_vs_sword_art_online_millennium_twilight,0.0,0.08100000000000002,20.36575221799746,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accel_world_vs_sword_art_online_millennium_twilight,0.0,0.05670000000000001,23.23166666666666,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace_another_centurys_episode_portable,0.0,0.09720000000000001,19.230974025974028,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ace_another_centurys_episode_r,0.0,0.2106,22.885476190476194,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ace_attorney_investigations_2,0.0,0.2106,24.132265625000002,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace_attorney_investigations_miles_edgeworth,7.7,0.567,45.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace_combat_assault_horizon,7.25,0.9963000000000001,17.085,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace_combat_assault_horizon_legacy,7.0,0.2025,20.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ace_combat_joint_assault,7.0,0.2349,26.89,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
achtung_panzer_kharkov_1943,0.0,0.016200000000000003,20.845208333333336,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
active_life_explorer,0.0,0.1215,34.82,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
active_life_magical_carnival,0.0,0.04050000000000001,13.64,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adrenalin_misfits,4.7,0.11340000000000001,9.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adventure_time_explore_the_dungeon_because_1_dont_know,2.8,0.032400000000000005,12.87,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_explore_the_dungeon_because_1_dont_know,0.0,0.10530000000000002,12.27,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_explore_the_dungeon_because_1_dont_know,0.0,0.12960000000000002,8.05,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_finn__jake_investigations,0.0,0.4212,20.36575221799746,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_finn__jake_investigations,0.0,0.08910000000000001,23.23166666666666,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_pirates_of_the_enchiridion,0.0,0.048600000000000004,13.095,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_pirates_of_the_enchiridion,0.0,0.024300000000000002,18.01,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_the_secret_of_the_nameless,0.0,0.016200000000000003,23.841724137931035,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_the_secret_of_the_nameless,0.0,0.008100000000000001,19.401356589147277,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adventure_time_the_secret_of_the_nameless_kingdom,0.0,0.048600000000000004,10.23,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adventure_time_the_secret_of_the_nameless_kingdom,0.0,0.06480000000000001,18.12,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aegis_of_earth_protonovus_assault,0.0,0.05670000000000001,20.36575221799746,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aegis_of_earth_protonovus_assault,0.0,0.032400000000000005,23.23166666666666,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aerea,5.3,0.024300000000000002,26.371399999999987,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
after_hours_athletes,0.0,0.09720000000000001,18.925883584589617,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
again,6.0,0.05670000000000001,19.97,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agatha_christie_the_abc_murders,0.0,0.016200000000000003,22.572360097323596,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agatha_christies_the_abc_murders,0.0,0.10530000000000002,21.20477168949772,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age_of_conan_rise_of_the_godslayer,7.9,0.024300000000000002,33.28113309352518,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
age_of_empires_online,7.0,0.048600000000000004,20.845208333333336,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
agents_of_mayhem,6.8,0.25110000000000005,6.095000000000001,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agony,4.85,0.04050000000000001,20.595,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aikatsu_2_nin_no_my_princess,0.0,0.21870000000000003,19.230974025974028,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aikatsu_365_idol_days,0.0,0.1053,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aikatsu_cinderella_lesson,0.0,0.16200000000000003,19.230974025974028,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aikatsu_my_no1_stage,0.0,0.0729,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aikatsu_stars_my_special_appeal,0.0,0.032400000000000005,23.23166666666666,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ailu_de_puzzle,0.0,0.032400000000000005,18.764469026548674,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
air,0.0,0.016200000000000003,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air_conflicts_secret_wars,6.333333333333333,0.2511,26.826666666666668,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air_conflicts_secret_wars,6.5,0.024300000000000002,20.769711779448627,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air_missions_hind,0.0,0.024300000000000002,30.51,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
airline_tycoon_2,5.7,0.04050000000000001,20.769711779448627,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
airport_simulator,0.0,0.016200000000000003,20.769711779448627,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aiyoku_no_eustia,0.0,0.008100000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akai_katana,0.0,0.048600000000000004,41.83,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
akai_suna_ochiru_tsuki,0.0,0.016200000000000003,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akatsuki_no_amaneka_to_aoi_kyojin,0.0,0.008100000000000001,17.148571428571426,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
